"File","Line","Snippet","Category","Variant"
"tasks.md","55","- Default state: `false` (labels hidden for all users including Super Admin).","UI","Super Admin"
"tasks.md","56","- Guard the toggle UI: `{user?.role === 'superadmin' && <OverlayToggle />}`.","Auth/Roles","superadmin"
"tasks.md","91","| Role | `role` | string (enum) | Required: `superadmin`, `contentmanager`, `techoperator`, `retaileradmin`, `advertiser","Auth/Roles","superadmin"
"tasks.md","448","**Route:** `/player` (Super Admin acting as Retailer)","Routing","Super Admin"
"tasks.md","470","### TASK-19 — No Retailer Context Selector for Super Admin","UI","Super Admin"
"tasks.md","471","**Route:** `/player` (and any Retailer-persona views used by Super Admin)","Routing","Super Admin"
"tasks.md","476","Add a Retailer selector dropdown visible only to Super Admin, so they can act in the context of a specific Retailer with","UI","Super Admin"
"tasks.md","483","- Visibility guard: `{user?.role === 'superadmin' && <RetailerContextSelector />}`.","Auth/Roles","superadmin"
"tasks.md","533","- Restrict view access: only render for `role === 'superadmin'` or `role === 'techoperator'`.","Auth/Roles","superadmin"
"tasks.md","538","- Verify `GET /api/screens` supports an unfiltered (admin-level) query and returns all records across all retailers/stor","Auth/Roles","superadmin"
"tasks.md","577","- **Auth/role guards:** All Super Admin-only features (overlay toggle, Retailer context selector) must check `user.role ","Auth/Roles","superadmin"
".agent\workflows\parity.md","23","- If drift is detected, use the Super Admin UI to reset the global configuration or manually clean the Firestore documen","Security Rules","Super Admin"
".agent\workflows\pricing-visibility.md","2","description: Ensure all pricing multipliers are visible in the Super Admin UI before implementation","UI","Super Admin"
".agent\workflows\pricing-visibility.md","7","This workflow ensures that any pricing factor affecting CPM calculations is visible and editable in the Super Admin inte","UI","Super Admin"
".agent\workflows\pricing-visibility.md","13","Every multiplier that affects the final slot price MUST be visible in the Super Admin Pricing Calendar UI.","UI","Super Admin"
".agent\workflows\pricing-visibility.md","23","- [ ] Can the Super Admin edit this value directly?","UI","Super Admin"
".agent\workflows\pricing-visibility.md","63","2. Get Super Admin approval on the design","UI","Super Admin"
"ad-server\seed.js","20","SUPER_ADMIN: PERSONAS.ADMIN,","UI","SUPER_ADMIN"
"ad-server\seed.js","49","{ id: 'admin_001', email: 'admin@demo.com', role: ROLES.SUPER_ADMIN, name: 'Global Admin' },","Auth/Roles","SUPER_ADMIN"
"ad-server\src\api\users.js","44","const allowedRoles = ['superadmin', 'contentmanager', 'techoperator', 'retaileradmin', 'advertiser'];","System.Object[]","superadmin"
"ad-server\src\api\users.js","106","const allowedRoles = ['superadmin', 'contentmanager', 'techoperator', 'retaileradmin', 'advertiser'];","System.Object[]","superadmin"
"ad-server\src\services\SeedService.js","21","{ id: 'usr_admin_001', email: 'admin@softomedia.com', role: 'admin', name: 'Super Admin' },","Auth/Roles","Super Admin"
"client-app\lint_report.json","5","[{""filePath"":""C:\\Users\\ChrisFro\\Desktop\\EmoGini\\softomedia-live2026\\client-app\\public\\config.js"",""messages"":[],""","System.Object[]","super_admin"
"client-app\public\lds\architecture_overview.html","122","<td>Super Admin</td>","UI","Super Admin"
"client-app\public\lds\cpm-pricing-system.html","199","<p>The final slot price is calculated using only <strong>visible multipliers</strong> from the Super Admin UI:</p>","UI","Super Admin"
"client-app\public\lds\cpm-pricing-system.html","333","<li><strong>Always use the Super Admin UI</strong> to change Base CPM - never direct database edits.</li>","UI","Super Admin"
"client-app\public\lds\cpm-pricing-system.html","345","<li>Can the Super Admin edit this value directly?</li>","UI","Super Admin"
"client-app\public\lds\cpm-pricing-system.html","386","<td>Super Admin UI</td>","UI","Super Admin"
"client-app\public\lds\playlist_architecture_analysis.html","258","<li>Super Admin access only</li>","UI","Super Admin"
"client-app\public\lds\playlist_architecture_analysis.html","531","<td>Super Admin only</td>","UI","Super Admin"
"client-app\public\lds\USER_TRAINING_GUIDE.html","209","<h2><span class=""material-symbols-outlined"">admin_panel_settings</span> For Super Admins <span","UI","Super Admin"
"client-app\src\components\CampaignApprovalList.jsx","7","* Super Admin Approval List","UI","Super Admin"
"client-app\src\components\HamburgerMenu.jsx","8","{ label: 'Super Admin', role: 'super_admin', color: 'bg-purple-500', route: 'admin'    },","System.Object[]","super_admin"
"client-app\src\components\PersonaSwitcher.jsx","9","{ id: 'super_admin', label: 'Super Admin', icon: 'shield_person', color: 'bg-red-600'      },","UI","super_admin"
"client-app\src\components\PersonaSwitcher.jsx","17","// super_admin shares /dashboard/admin — mirrors DashboardLayout normalisation","UI","super_admin"
"client-app\src\components\PersonaSwitcher.jsx","18","const routeTarget = p.id === 'super_admin' ? 'admin' : p.id;","Routing","super_admin"
"client-app\src\contexts\AuthContext.jsx","45","// Sync user.role so role-based checks (e.g. isSuperAdmin in Overview)","Auth/Roles","SuperAdmin"
"client-app\src\layouts\DashboardLayout.jsx","16","// super_admin shares /dashboard/admin — user.role is preserved as","Auth/Roles","super_admin"
"client-app\src\layouts\DashboardLayout.jsx","17","// 'super_admin' so privilege checks (e.g. isSuperAdmin in Overview)","UI","SuperAdmin"
"client-app\src\layouts\DashboardLayout.jsx","21","const routePersona = persona === 'super_admin' ? 'admin' : persona;","Routing","super_admin"
"client-app\src\pages\LoopDemoPlayer.jsx","35","const isSuperAdmin = role === 'superadmin';","Auth/Roles","SuperAdmin"
"client-app\src\pages\LoopDemoPlayer.jsx","297","{/* Title + Task 4.3: superadmin Retailer Context selector */}","UI","superadmin"
"client-app\src\pages\LoopDemoPlayer.jsx","306","{/* Task 4.3 — visible only for superadmin */}","UI","superadmin"
"client-app\src\pages\LoopDemoPlayer.jsx","307","{isSuperAdmin && (","UI","SuperAdmin"
"client-app\src\pages\LoopDemoPlayer.jsx","354","{/* Step 1 — Retailer (only rendered for non-superadmin here;","UI","superadmin"
"client-app\src\pages\LoopDemoPlayer.jsx","355","superadmin uses the header context selector above) */}","UI","superadmin"
"client-app\src\pages\LoopDemoPlayer.jsx","356","{!isSuperAdmin && (","UI","SuperAdmin"
"client-app\src\pages\LoopDemoPlayer.jsx","380","<div className={`flex flex-col gap-1 ${!isSuperAdmin ? '' : 'col-span-1'}`}>","UI","SuperAdmin"
"client-app\src\pages\LoopDemoPlayer.jsx","382","{isSuperAdmin ? '1' : '2'} \u00b7 Store","UI","SuperAdmin"
"client-app\src\pages\LoopDemoPlayer.jsx","410","{isSuperAdmin ? '2' : '3'} \u00b7 Screen","UI","SuperAdmin"
"client-app\src\pages\admin\Overview.jsx","12","const isSuperAdmin = user?.role === 'super_admin';","Auth/Roles","SuperAdmin"
"client-app\src\pages\admin\Overview.jsx","106","// super_admin also sees Screens as the first tile","UI","super_admin"
"client-app\src\pages\admin\Overview.jsx","107","const superAdminActions = [","UI","super admin"
"client-app\src\pages\admin\Overview.jsx","112","const activeActions = isSuperAdmin ? superAdminActions : quickActions;","UI","SuperAdmin"
"client-app\src\pages\admin\Overview.jsx","119","<p className=""text-slate-500 dark:text-slate-400"">Softomedia Super Admin Control Center</p>","UI","Super Admin"
"client-app\src\pages\admin\Overview.jsx","139","super_admin  -> superAdminActions (Screens first + all 7 actions)","UI","super_admin"
"client-app\src\pages\admin\UserManagement.jsx","9","{ value: 'superadmin', label: 'Super Admin', color: 'text-purple-500', icon: 'shield_person' },","UI","superadmin"
"client-app\src\services\api.js","194","localStorage.setItem('demo_role', 'superadmin');","Auth/Roles","superadmin"
"client-app\src\services\PricingService.js","168","* RULE: Only applies multipliers that are VISIBLE in Super Admin UI","Security Rules","Super Admin"
"client-app\src\stores\GeminiStore.js","33","// Section label overlay toggle for Super Admin debugging","UI","Super Admin"
"client-app\src\stores\GeminiStore.js","39","// Section label overlay toggle for Super Admin debugging","UI","Super Admin"
"docs\Digital Screen Network Management Platform (MVP).md","16","Super Administrator (Softomedia – Platform Owner)","UI","Super Admin"
"docs\Digital Screen Network Management Platform (MVP).md","24","3.1 Super Administrator (Softomedia – Platform Owner)","UI","Super Admin"
"docs\SofiensBullshit.md","151","super_admin: '/dashboard/admin',","UI","super_admin"
"docs\SofiensBullshit.md","204","- ✅ Screens page gated to `super_admin` role only","Auth/Roles","super_admin"
"docs\USER_TRAINING_GUIDE.md","17","## 🏢 For Super Admins","UI","Super Admin"
"docs\MAH\data_dictionary.md","103","| Role | `role` | string | Yes | Governs permissions | `super_admin`, `content_manager`, `tech_operator`, `retailer_admi","Auth/Roles","super_admin"
"docs\MAH\Digital Screen Network Management Platform (MVP).md","16","Super Administrator (Softomedia – Platform Owner)","UI","Super Admin"
"docs\MAH\Digital Screen Network Management Platform (MVP).md","24","3.1 Super Administrator (Softomedia – Platform Owner)","UI","Super Admin"
"docs\MAH\user_stories_use_cases.md","44","## 3. Super Admin Persona","UI","Super Admin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","22","Close the two remaining partial bugs in the user management write path: the `superadmin` role being locked out of `GET /","System.Object[]","superadmin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","28","| BUG-02 | `GET /api/users` blocks `superadmin` with 403 | ⚠️ Partial |","UI","superadmin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","35","| [`ad-server/src/api/users.js`](https://github.com/cfroszte/softomedia-live2026/blob/main/ad-server/src/api/users.js) |","System.Object[]","superadmin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","43","TEST: superadmin can list all users","UI","superadmin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","44","GIVEN: logged in as superadmin","UI","superadmin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","60","- [ ] `GET /api/users` returns `200` when authenticated as `superadmin`","Auth/Roles","superadmin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","61","- [ ] New user created by `superadmin` appears in table immediately after submission","UI","superadmin"
"docs\QA\qa2do\create a sprint plan to fix the remaining bugs.md","225","GIVEN: superadmin has selected Retailer context","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","13","**Auth:** Uses `global.setup.js` localStorage injection for `brand`, `admin`, `retailer` personas . A `superadmin` perso","Auth/Roles","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","19","Before writing any new spec, make one change to [`tests/global.setup.js`](https://github.com/cfroszte/softomedia-live202","Auth/Roles","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","28","const personas = ['brand', 'admin', 'retailer', 'superadmin'];","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","34","superadminPage: async ({ browser }, use) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","36","storageState: 'tests/.auth/superadmin.json'","Auth/Roles","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","50","**Covers:** BUG-02 (superadmin locked out of GET /api/users) · BUG-03 (deleted user stays in table)","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","55","test.describe('BUG-02 — superadmin can list and create users', () => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","57","test('superadmin GET /api/users returns 200', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","65","test('superadmin sees user rows in the Users table', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","72","test('superadmin can create a new user and it appears in the table', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","90","test('role=advertiser blocks submit without linked_entity_id', async ({ superadminPage: page }) => {","Auth/Roles","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","104","test('trash icon triggers confirmation prompt', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","115","test('confirmed delete removes row without page refresh', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","131","test('deleted user status is inactive in API response', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","171","test('DELETE /api/retailers/:id returns 200 and document still exists', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","195","test('associated stores are intact after retailer soft-delete', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","216","test('DELETE /api/advertisers/:id returns 200 and document still exists', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","239","test('campaigns referencing advertiser_id are intact after advertiser soft-delete', async ({ superadminPage: page }) => ","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","467","test('POST /api/stores returns 201 with correct retailer_id', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","488","test('New store appears in Player store selector after creation', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","508","test('Retailer context selector is visible to superadmin on retailer views', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","542","test('Every store returned by GET /api/stores has a valid retailer_id', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","556","test('Player store selector contains no MOCK_STORAGE seed entries', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","569","test('DISABLE_MOCK_STORAGE flag does not break GET /api/monitoring/status', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","579","test('Tech Ops screen count matches GET /api/monitoring/status total', async ({ superadminPage: page }) => {","UI","superadmin"
"docs\QA\qa2do\create a test plan to verify sprint A to E fixes.md","648","- [ ] `superadmin` receives `200` from `GET /api/users` (not `403`)","UI","superadmin"
"incidents\2026-01-12-auth-header-missing.md","13","On 2026-01-12, an ""Authorization header required"" error was reported when attempting to update the Base CPM in the **Pri","Auth/Roles","Super Admin"
"incidents\2026-01-12-auth-header-missing.md","21","3.  **Behavior**: The error occurred only when the user switched to the ""Super Admin"" persona using the UI switcher with","UI","Super Admin"
"incidents\2026-01-12-cmp-cloud-discrepancy.md","39","A legacy `storeTrafficMultiplier` (assigning 1.25x to ""High Traffic"" stores) was still active in the calculation logic b","UI","Super Admin"
"incidents\2026-01-12-cmp-cloud-discrepancy.md","66","- **NEW GOVERNANCE**: No price-altering multiplier shall be implemented unless it is explicitly visible and editable in ","UI","Super Admin"
"incidents\2026-01-14-business-hours-sync.md","9","Advertisers were unable to schedule campaigns during special store hours (e.g., Marketing Events) because the Campaign W","UI","Super Admin"
"public\hamburger-demo.html","200","<p class=""text-sm font-semibold text-slate-900 dark:text-white truncate"" id=""a-name"">Super Admin</p>","UI","Super Admin"
"public\hamburger-demo.html","201","<p class=""text-xs text-slate-400 truncate"">super_admin@demo.softomedia.com</p>","UI","super_admin"
"public\hamburger-demo.html","267","<p class=""text-sm font-semibold text-slate-900 dark:text-white truncate"">Super Admin</p>","UI","Super Admin"
"public\hamburger-demo.html","268","<p class=""text-xs text-slate-400 truncate"">super_admin@demo.softomedia.com</p>","UI","super_admin"
"public\hamburger-demo.html","354","<p class=""text-sm font-semibold text-slate-900 dark:text-white truncate"">Super Admin</p>","UI","Super Admin"
"public\hamburger-demo.html","355","<p class=""text-xs text-slate-400 truncate"">super_admin@demo.softomedia.com</p>","UI","super_admin"
"public\hamburger-demo.html","432","<p class=""text-sm font-semibold text-slate-900 dark:text-white truncate"">Super Admin</p>","UI","Super Admin"
"public\hamburger-demo.html","435","<p class=""text-xs text-slate-400 truncate"">super_admin</p>","UI","super_admin"
"public\hamburger-demo.html","451","{ label: 'Super Admin', role: 'super_admin', color: 'bg-purple-500', route: 'admin'    },","System.Object[]","super_admin"
"public\hamburger-demo.html","458","let activeRole = 'super_admin';","Auth/Roles","super_admin"
"sprints1to4\functional-test-plan-sprints1to4.md","25","| Superadmin headers | `Authorization: Bearer demo-token` + `x-demo-role: superadmin` |","Auth/Roles","superadmin"
"sprints1to4\functional-test-plan-sprints1to4.md","45","**Steps:** `GET /api/users` + superadmin headers","UI","superadmin"
"sprints1to4\functional-test-plan-sprints1to4.md","174","### FT-4.10 Role — Superadmin Sees Retailer Context Selector","Auth/Roles","super admin"
"sprints1to4\qa-human-test-plan.md","70","| 5.1 | `demo_role = superadmin` → reload → Retailer Context selector **visible** | ✓ |","Auth/Roles","superadmin"
"sprints1to4\qa-test-plan-sprints1to4.md","22","- `GET /api/users`, superadmin headers","UI","superadmin"
"sprints1to4\sprints1to4summary.md","85","- Role-based visibility: `superadmin` sees Retailer Context selector, `retailer_admin` does not","Auth/Roles","superadmin"
"tests\personas_mvp.spec.js","54","test('Super Admin: Global Governance', async ({ page }) => {","UI","Super Admin"
"tests\personas_mvp.spec.js","55","// Select Super Admin Persona","UI","Super Admin"
